year,inflation_cpi
1960,1.457975986277860
1961,1.070724147647230
1962,1.198773348201850
1963,1.239669421487600
1964,1.278911564625830
1965,1.585169263836690
1966,3.015075376884390
1967,2.772785622593070
1968,4.271796152885340
1969,5.462386200287500
1970,5.838255338482530
1971,4.292766688130450
1972,3.272278246552830
1973,6.177760063770410
1974,11.054804804804800
1975,9.143146864965340
1976,5.744812635490850
1977,6.501683994728390
1978,7.630963838856020
1979,11.254471129279500
1980,13.549201974968400
1981,10.334715340277100
1982,6.131427000274940
1983,3.212435233160630
1984,4.300535475234270
1985,3.545644152093690
1986,1.898047722342750
1987,3.664563217516910
1988,4.077741107444080
1989,4.827003030089490
1990,5.397956439903220
1991,4.234963964538530
1992,3.028819678149700
1993,2.951656966385540
1994,2.607441592154600
1995,2.805419688536550
1996,2.931204199934400
1997,2.337689937307410
1998,1.552279098743620
1999,2.188027196973580
2000,3.376857271499350
2001,2.826171118854020
2002,1.586031626506030
2003,2.270094973361130
2004,2.677236693091730
2005,3.392746845495470
2006,3.225944100704070
2007,2.852672481501360
2008,3.839100296651010
2009,-0.355546266299750
2010,1.640043442389890
2011,3.156841568622060
2012,2.069337265260590
2013,1.464832655627140
2014,1.622222977408210
2015,0.118627135552435
2016,1.261583205705370
2017,2.130110003659630
2018,2.442583296928180
2019,1.812210075260150
2020,1.233584396306370
2021,4.697858863637390